timestamp_utc,suite,model,q_count,path_starvation_rate,filtered_to_zero_events,filtered_to_zero_qids,artifact_citations_unknown,missing_paths_from_parquet,schema_issues_total,advice_issues_total,guru_score,guru_issues,guru_failing_qids,run_path
2026-02-11T22:42:56,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,21.0,0.429,17,8,0,0.0,3.0,0.0,18.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",260211_22:42:56_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.25,1,1,0,0.0,2.0,0.0,3.0,1.0,R_META_1,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set1_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,10,3,0,0.0,0.0,0.0,3.0,1.0,R_API_3,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set2_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.75,2,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set3_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.5,3,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set4_v1_0
2026-02-11T22:50:19,RSQT_GENERAL_5SETS_1_5,,5.0,0.0,1,1,0,0.0,1.0,0.0,4.0,1.0,R_DOC_UNDOC_1,RSQT_GENERAL_5SETS_260211_225019/pack_rust_audit_rsqt_general_set5_v1_0
2026-02-11T22:51:49,RSQT_GENERAL_v1_6_explicit,strand-iq4xs:latest,21.0,0.429,17,8,0,0.0,3.0,0.0,18.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",260211_22:51:49_strand_iq4xs_rsqt_general_v1_6_explicit
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set10_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.25,3,3,0,0.0,3.0,0.0,1.0,3.0,"R_META_1,R_API_3,R_DOC_UNDOC_1",RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set6_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,5.0,0.6,9,2,0,0.0,0.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set7_v1_0
2026-02-11T22:59:34,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.75,1,1,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_225934/pack_rust_audit_rsqt_general_set8_v1_0
